"year","month","tempMax","tempMin","prec"
"1950","08",17,7,103.9
"1950","09",22.8,10.3,131.6
"1950","10",21.5,13,114.3
"1950","11",23.2,13.9,136.7
"1950","12",26.6,15.9,32.5
"1951","01",24.6,17.4,327.3
"1951","02",26.4,17.7,47.2
"1951","03",26.6,17.3,119
"1951","04",22.1,11.6,40.3
"1951","05",20.1,9.7,50.9
"1951","06",17.2,10,324.5
"1951","07",16.7,6.5,45.7
"1951","08",17,7.1,47.5
"1951","09",21.9,9.5,31.5
"1951","10",23.7,10.7,31.5
"1951","11",26.1,12.6,12.2
"1951","12",26.9,15.2,63.2
"1952","01",29.4,18.5,30.3
"1952","02",26.1,17.3,46.4
"1952","03",26.1,15.9,70.9
"1952","04",22.9,14.1,97.6
"1952","05",19,10.1,79.8
"1952","06",18,8.7,50.8
"1952","07",16.3,7,172.2
"1952","08",17.5,8.9,427.5
"1952","09",21.4,8.9,19.8
"1952","10",23.2,12.7,76
"1952","11",24.7,13,32.5
"1952","12",26.5,16.2,39.3
"1953","01",25.7,16.1,113.3
"1953","02",24.9,16.9,171.7
"1953","03",25.9,15.5,93.2
"1953","04",24.5,14.2,40.6
"1953","05",20,9.9,202.2
"1953","06",16.8,7.1,28.2
"1953","07",16.7,6,72.8
"1953","08",17.7,6.1,71.4
"1953","09",20.9,8.1,22.6
"1953","10",21.7,10.9,56.2
"1953","11",26.3,13.9,29.3
"1953","12",29.1,16.9,40.1
"1954","01",25.5,17.2,128.8
"1954","02",27,18,255.5
"1954","03",26.5,15.5,23.1
"1954","04",23.9,13.6,61.2
"1954","05",19.2,9.2,41.3
"1954","06",17.7,6.6,43.7
"1954","07",17,6.8,107.7
"1954","08",18.6,7.1,76.5
"1954","09",18.5,8.9,91.7
"1954","10",22.9,12.1,102.9
"1954","11",25.1,15.8,91.2
"1954","12",26.1,17.1,52.3
"1955","01",27.9,18.5,77.2
"1955","02",26.2,19,313.2
"1955","03",26,18.4,166.8
"1955","04",23,15.5,166.9
"1955","05",19.2,9.7,118.4
"1955","06",16.5,8.3,105.7
"1955","07",15.5,6.5,125.7
"1955","08",19,7.2,17.9
"1955","09",20.6,8.7,86.9
"1955","10",23,13,45.2
"1955","11",25.8,13.6,187.7
"1955","12",25,15.6,85.1
"1956","01",26.5,17.7,156.2
"1956","02",25.5,19.2,245.4
"1956","03",26.1,19.2,333.2
"1956","04",23.7,13.9,16.3
"1956","05",19,11.2,184.7
"1956","06",16.6,7.5,103.1
"1956","07",15.9,6,37.6
"1956","08",17.3,6,72.4
"1956","09",18.6,7.2,15.2
"1956","10",21.7,11.3,100.1
"1956","11",24.6,12.1,9.1
"1956","12",28.2,16.5,73.2
"1957","01",27.2,17.1,19.3
"1957","02",25.4,18.1,94.5
"1957","03",25.1,14.9,121.8
"1957","04",24.3,13.1,38.6
"1957","05",21.5,6.9,2.3
"1957","06",19.9,6.8,18.5
"1957","07",15.6,5.5,108.7
"1957","08",17.4,7.9,172
"1957","09",20.1,8.2,47.8
"1957","10",24.2,11.6,7.4
"1957","11",28.3,13.7,30.6
"1957","12",29.7,17.7,42.2
"1958","01",26.9,17.9,116.2
"1958","02",27.9,17,105.3
"1958","03",27.6,17.1,72.7
"1958","04",23.8,14.8,123.3
"1958","05",22.3,11.3,71.4
"1958","06",18.1,9.2,127.8
"1958","07",17,6.6,25.2
"1958","08",18.5,9.2,71.4
"1958","09",18.6,8.3,80.4
"1958","10",23.7,12.4,91.9
"1958","11",26.9,15.5,24.1
