Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,061078,1942,09,5.1,Y
IDCJAC0001,061078,1942,10,152.1,Y
IDCJAC0001,061078,1942,11,107.1,Y
IDCJAC0001,061078,1942,12,36.1,Y
IDCJAC0001,061078,1943,03,28.5,Y
IDCJAC0001,061078,1943,04,41.5,Y
IDCJAC0001,061078,1943,05,246.2,Y
IDCJAC0001,061078,1943,06,28.9,Y
IDCJAC0001,061078,1943,07,10.7,Y
IDCJAC0001,061078,1943,08,196.7,Y
IDCJAC0001,061078,1943,09,125.8,Y
IDCJAC0001,061078,1943,10,52.3,Y
IDCJAC0001,061078,1943,11,133.8,Y
IDCJAC0001,061078,1943,12,92.0,Y
IDCJAC0001,061078,1944,01,54.8,Y
IDCJAC0001,061078,1944,02,102.1,Y
IDCJAC0001,061078,1944,03,58.6,Y
IDCJAC0001,061078,1944,04,98.0,Y
IDCJAC0001,061078,1944,05,56.5,Y
IDCJAC0001,061078,1944,06,67.6,Y
IDCJAC0001,061078,1944,07,95.2,Y
IDCJAC0001,061078,1944,08,77.5,Y
IDCJAC0001,061078,1944,09,110.8,Y
IDCJAC0001,061078,1944,10,32.7,Y
IDCJAC0001,061078,1944,11,6.8,Y
IDCJAC0001,061078,1944,12,23.4,Y
IDCJAC0001,061078,1945,01,59.2,Y
IDCJAC0001,061078,1945,02,68.1,Y
IDCJAC0001,061078,1945,03,45.5,Y
IDCJAC0001,061078,1945,04,125.1,Y
IDCJAC0001,061078,1945,05,73.9,Y
IDCJAC0001,061078,1945,06,197.2,Y
IDCJAC0001,061078,1945,07,155.1,Y
IDCJAC0001,061078,1945,08,40.8,Y
IDCJAC0001,061078,1945,09,21.7,Y
IDCJAC0001,061078,1945,10,45.0,Y
IDCJAC0001,061078,1945,11,67.3,Y
IDCJAC0001,061078,1950,08,103.9,Y
IDCJAC0001,061078,1950,09,131.6,Y
IDCJAC0001,061078,1950,10,114.3,Y
IDCJAC0001,061078,1950,11,136.7,Y
IDCJAC0001,061078,1950,12,32.5,Y
IDCJAC0001,061078,1951,01,327.3,Y
IDCJAC0001,061078,1951,02,47.2,Y
IDCJAC0001,061078,1951,03,119.0,Y
IDCJAC0001,061078,1951,04,40.3,Y
IDCJAC0001,061078,1951,05,50.9,Y
IDCJAC0001,061078,1951,06,324.5,Y
IDCJAC0001,061078,1951,07,45.7,Y
IDCJAC0001,061078,1951,08,47.5,Y
IDCJAC0001,061078,1951,09,31.5,Y
IDCJAC0001,061078,1951,10,31.5,Y
IDCJAC0001,061078,1951,11,12.2,Y
IDCJAC0001,061078,1951,12,63.2,Y
IDCJAC0001,061078,1952,01,30.3,Y
IDCJAC0001,061078,1952,02,46.4,Y
IDCJAC0001,061078,1952,03,70.9,Y
IDCJAC0001,061078,1952,04,97.6,Y
IDCJAC0001,061078,1952,05,79.8,Y
IDCJAC0001,061078,1952,06,50.8,Y
IDCJAC0001,061078,1952,07,172.2,Y
IDCJAC0001,061078,1952,08,427.5,Y
IDCJAC0001,061078,1952,09,19.8,Y
IDCJAC0001,061078,1952,10,76.0,Y
IDCJAC0001,061078,1952,11,32.5,Y
IDCJAC0001,061078,1952,12,39.3,Y
IDCJAC0001,061078,1953,01,113.3,Y
IDCJAC0001,061078,1953,02,171.7,Y
IDCJAC0001,061078,1953,03,93.2,Y
IDCJAC0001,061078,1953,04,40.6,Y
IDCJAC0001,061078,1953,05,202.2,Y
IDCJAC0001,061078,1953,06,28.2,Y
IDCJAC0001,061078,1953,07,72.8,Y
IDCJAC0001,061078,1953,08,71.4,Y
