Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,061078,1942,09,23.1,Y
IDCJAC0002,061078,1942,10,22.0,Y
IDCJAC0002,061078,1942,11,24.6,Y
IDCJAC0002,061078,1942,12,27.9,Y
IDCJAC0002,061078,1950,08,17.0,Y
IDCJAC0002,061078,1950,09,22.8,Y
IDCJAC0002,061078,1950,10,21.5,Y
IDCJAC0002,061078,1950,11,23.2,Y
IDCJAC0002,061078,1950,12,26.6,Y
IDCJAC0002,061078,1951,01,24.6,Y
IDCJAC0002,061078,1951,02,26.4,Y
IDCJAC0002,061078,1951,03,26.6,Y
IDCJAC0002,061078,1951,04,22.1,Y
IDCJAC0002,061078,1951,05,20.1,Y
IDCJAC0002,061078,1951,06,17.2,Y
IDCJAC0002,061078,1951,07,16.7,Y
IDCJAC0002,061078,1951,08,17.0,Y
IDCJAC0002,061078,1951,09,21.9,Y
IDCJAC0002,061078,1951,10,23.7,Y
IDCJAC0002,061078,1951,11,26.1,Y
IDCJAC0002,061078,1951,12,26.9,Y
IDCJAC0002,061078,1952,01,29.4,Y
IDCJAC0002,061078,1952,02,26.1,Y
IDCJAC0002,061078,1952,03,26.1,Y
IDCJAC0002,061078,1952,04,22.9,Y
IDCJAC0002,061078,1952,05,19.0,Y
IDCJAC0002,061078,1952,06,18.0,Y
IDCJAC0002,061078,1952,07,16.3,Y
IDCJAC0002,061078,1952,08,17.5,Y
IDCJAC0002,061078,1952,09,21.4,Y
IDCJAC0002,061078,1952,10,23.2,Y
IDCJAC0002,061078,1952,11,24.7,Y
IDCJAC0002,061078,1952,12,26.5,Y
IDCJAC0002,061078,1953,01,25.7,Y
IDCJAC0002,061078,1953,02,24.9,Y
IDCJAC0002,061078,1953,03,25.9,Y
IDCJAC0002,061078,1953,04,24.5,Y
IDCJAC0002,061078,1953,05,20.0,Y
IDCJAC0002,061078,1953,06,16.8,Y
IDCJAC0002,061078,1953,07,16.7,Y
IDCJAC0002,061078,1953,08,17.7,Y
IDCJAC0002,061078,1953,09,20.9,Y
IDCJAC0002,061078,1953,10,21.7,Y
IDCJAC0002,061078,1953,11,26.3,Y
IDCJAC0002,061078,1953,12,29.1,Y
IDCJAC0002,061078,1954,01,25.5,Y
IDCJAC0002,061078,1954,02,27.0,Y
IDCJAC0002,061078,1954,03,26.5,Y
IDCJAC0002,061078,1954,04,23.9,Y
IDCJAC0002,061078,1954,05,19.2,Y
IDCJAC0002,061078,1954,06,17.7,Y
IDCJAC0002,061078,1954,07,17.0,Y
IDCJAC0002,061078,1954,08,18.6,Y
IDCJAC0002,061078,1954,09,18.5,Y
IDCJAC0002,061078,1954,10,22.9,Y
IDCJAC0002,061078,1954,11,25.1,Y
IDCJAC0002,061078,1954,12,26.1,Y
IDCJAC0002,061078,1955,01,27.9,Y
IDCJAC0002,061078,1955,02,26.2,Y
IDCJAC0002,061078,1955,03,26.0,Y
IDCJAC0002,061078,1955,04,23.0,Y
IDCJAC0002,061078,1955,05,19.2,Y
IDCJAC0002,061078,1955,06,16.5,Y
IDCJAC0002,061078,1955,07,15.5,Y
IDCJAC0002,061078,1955,08,19.0,Y
IDCJAC0002,061078,1955,09,20.6,Y
IDCJAC0002,061078,1955,10,23.0,Y
IDCJAC0002,061078,1955,11,25.8,Y
IDCJAC0002,061078,1955,12,25.0,Y
IDCJAC0002,061078,1956,01,26.5,Y
IDCJAC0002,061078,1956,02,25.5,Y
IDCJAC0002,061078,1956,03,26.1,Y
IDCJAC0002,061078,1956,04,23.7,Y
IDCJAC0002,061078,1956,05,19.0,Y
IDCJAC0002,061078,1956,06,16.6,Y
IDCJAC0002,061078,1956,07,15.9,Y
IDCJAC0002,061078,1956,08,17.3,Y
IDCJAC0002,061078,1956,09,18.6,Y
IDCJAC0002,061078,1956,10,21.7,Y
IDCJAC0002,061078,1956,11,24.6,Y
IDCJAC0002,061078,1956,12,28.2,Y
IDCJAC0002,061078,1957,01,27.2,Y
IDCJAC0002,061078,1957,02,25.4,Y
IDCJAC0002,061078,1957,03,25.1,Y
IDCJAC0002,061078,1957,04,24.3,Y
IDCJAC0002,061078,1957,05,21.5,Y
IDCJAC0002,061078,1957,06,19.9,Y
IDCJAC0002,061078,1957,07,15.6,Y
IDCJAC0002,061078,1957,08,17.4,Y
IDCJAC0002,061078,1957,09,20.1,Y
IDCJAC0002,061078,1957,10,24.2,Y
IDCJAC0002,061078,1957,11,28.3,Y
IDCJAC0002,061078,1957,12,29.7,Y
IDCJAC0002,061078,1958,01,26.9,Y
IDCJAC0002,061078,1958,02,27.9,Y
IDCJAC0002,061078,1958,03,27.6,Y
IDCJAC0002,061078,1958,04,23.8,Y
IDCJAC0002,061078,1958,05,22.3,Y
IDCJAC0002,061078,1958,06,18.1,Y
IDCJAC0002,061078,1958,07,17.0,Y
IDCJAC0002,061078,1958,08,18.5,Y
IDCJAC0002,061078,1958,09,18.6,Y
IDCJAC0002,061078,1958,10,23.7,Y
IDCJAC0002,061078,1958,11,26.9,Y
IDCJAC0002,061078,1958,12,25.9,Y
IDCJAC0002,061078,1959,01,26.4,Y
IDCJAC0002,061078,1959,02,28.1,Y
IDCJAC0002,061078,1959,03,26.0,Y
IDCJAC0002,061078,1959,04,23.8,Y
IDCJAC0002,061078,1959,05,19.2,Y
IDCJAC0002,061078,1959,06,17.3,Y
IDCJAC0002,061078,1959,07,16.4,Y
IDCJAC0002,061078,1959,08,18.2,Y
IDCJAC0002,061078,1959,09,19.9,Y
IDCJAC0002,061078,1959,10,20.9,Y
IDCJAC0002,061078,1959,11,25.7,Y
IDCJAC0002,061078,1959,12,26.2,Y
IDCJAC0002,061078,1960,01,29.9,Y
IDCJAC0002,061078,1960,02,25.9,Y
IDCJAC0002,061078,1960,03,24.2,Y
IDCJAC0002,061078,1960,04,23.4,Y
IDCJAC0002,061078,1960,05,19.2,Y
IDCJAC0002,061078,1960,06,15.9,Y
IDCJAC0002,061078,1960,07,16.6,Y
IDCJAC0002,061078,1960,08,17.4,Y
IDCJAC0002,061078,1960,09,20.0,Y
IDCJAC0002,061078,1960,10,22.9,Y
IDCJAC0002,061078,1960,11,23.7,Y
IDCJAC0002,061078,1960,12,24.4,Y
IDCJAC0002,061078,1961,01,26.6,Y
IDCJAC0002,061078,1961,02,26.2,Y
IDCJAC0002,061078,1961,03,25.7,Y
IDCJAC0002,061078,1961,04,23.0,Y
IDCJAC0002,061078,1961,05,19.2,Y
IDCJAC0002,061078,1961,06,17.4,Y
IDCJAC0002,061078,1961,07,16.4,Y
IDCJAC0002,061078,1961,08,17.1,Y
IDCJAC0002,061078,1961,09,20.0,Y
IDCJAC0002,061078,1961,10,25.0,Y
IDCJAC0002,061078,1961,11,25.6,Y
IDCJAC0002,061078,1961,12,25.6,Y
IDCJAC0002,061078,1962,01,25.8,Y
IDCJAC0002,061078,1962,02,26.8,Y
IDCJAC0002,061078,1962,03,25.2,Y
IDCJAC0002,061078,1962,04,22.1,Y
IDCJAC0002,061078,1962,05,19.0,Y
IDCJAC0002,061078,1962,06,18.8,Y
IDCJAC0002,061078,1962,07,17.0,Y
IDCJAC0002,061078,1962,08,17.7,Y
IDCJAC0002,061078,1962,09,20.8,Y
IDCJAC0002,061078,1962,10,22.8,Y
IDCJAC0002,061078,1962,11,24.9,Y
IDCJAC0002,061078,1962,12,25.6,Y
IDCJAC0002,061078,1963,01,27.3,Y
IDCJAC0002,061078,1963,02,27.1,Y
IDCJAC0002,061078,1963,03,25.2,Y
IDCJAC0002,061078,1963,04,22.7,Y
IDCJAC0002,061078,1963,05,19.9,Y
IDCJAC0002,061078,1963,06,16.5,Y
IDCJAC0002,061078,1963,07,16.3,Y
IDCJAC0002,061078,1963,08,17.3,Y
IDCJAC0002,061078,1963,09,20.3,Y
IDCJAC0002,061078,1963,10,22.5,Y
IDCJAC0002,061078,1963,11,23.2,Y
IDCJAC0002,061078,1963,12,26.7,Y
IDCJAC0002,061078,1964,01,28.7,Y
IDCJAC0002,061078,1964,02,26.3,Y
IDCJAC0002,061078,1964,03,26.9,Y
IDCJAC0002,061078,1964,04,22.7,Y
IDCJAC0002,061078,1964,05,19.8,Y
IDCJAC0002,061078,1964,06,17.7,Y
IDCJAC0002,061078,1964,07,17.3,Y
IDCJAC0002,061078,1964,08,18.5,Y
IDCJAC0002,061078,1964,09,21.8,Y
IDCJAC0002,061078,1964,10,22.1,Y
IDCJAC0002,061078,1964,11,25.6,Y
IDCJAC0002,061078,1964,12,26.6,Y
IDCJAC0002,061078,1965,01,24.4,Y
IDCJAC0002,061078,1965,02,27.2,Y
IDCJAC0002,061078,1965,03,27.6,Y
IDCJAC0002,061078,1965,04,22.7,Y
IDCJAC0002,061078,1965,05,21.0,Y
IDCJAC0002,061078,1965,06,18.3,Y
IDCJAC0002,061078,1965,07,16.5,Y
IDCJAC0002,061078,1965,08,18.5,Y
IDCJAC0002,061078,1965,09,24.0,Y
IDCJAC0002,061078,1965,10,24.4,Y
IDCJAC0002,061078,1965,11,25.5,Y
IDCJAC0002,061078,1965,12,25.5,Y
IDCJAC0002,061078,1966,01,26.7,Y
IDCJAC0002,061078,1966,02,26.7,Y
IDCJAC0002,061078,1966,03,26.1,Y
IDCJAC0002,061078,1966,04,24.0,Y
IDCJAC0002,061078,1966,05,19.5,Y
IDCJAC0002,061078,1966,06,17.4,Y
IDCJAC0002,061078,1966,07,16.6,Y
IDCJAC0002,061078,1966,08,17.2,Y
IDCJAC0002,061078,1966,09,19.8,Y
IDCJAC0002,061078,1966,10,21.2,Y
IDCJAC0002,061078,1966,11,25.5,Y
IDCJAC0002,061078,1966,12,25.7,Y
IDCJAC0002,061078,1967,01,28.0,Y
IDCJAC0002,061078,1967,02,26.5,Y
IDCJAC0002,061078,1967,03,24.2,Y
IDCJAC0002,061078,1967,04,23.5,Y
IDCJAC0002,061078,1967,05,19.4,Y
IDCJAC0002,061078,1967,06,17.8,Y
IDCJAC0002,061078,1967,07,16.9,Y
IDCJAC0002,061078,1967,08,17.1,Y
IDCJAC0002,061078,1967,09,20.2,Y
IDCJAC0002,061078,1967,10,22.7,Y
IDCJAC0002,061078,1967,11,25.9,Y
IDCJAC0002,061078,1967,12,25.2,Y
IDCJAC0002,061078,1968,01,27.1,Y
IDCJAC0002,061078,1968,02,28.0,Y
IDCJAC0002,061078,1968,03,27.4,Y
IDCJAC0002,061078,1968,04,25.0,Y
IDCJAC0002,061078,1968,05,18.8,Y
IDCJAC0002,061078,1968,06,16.0,Y
IDCJAC0002,061078,1968,07,16.0,Y
IDCJAC0002,061078,1968,08,18.4,Y
IDCJAC0002,061078,1968,09,20.3,Y
IDCJAC0002,061078,1968,10,24.6,Y
IDCJAC0002,061078,1968,11,27.9,Y
IDCJAC0002,061078,1968,12,24.6,Y
IDCJAC0002,061078,1969,01,28.9,Y
IDCJAC0002,061078,1969,02,26.7,Y
IDCJAC0002,061078,1969,03,26.6,Y
IDCJAC0002,061078,1969,04,24.2,Y
IDCJAC0002,061078,1969,05,19.2,Y
IDCJAC0002,061078,1969,06,17.1,Y
IDCJAC0002,061078,1969,07,17.5,Y
IDCJAC0002,061078,1969,08,19.9,Y
IDCJAC0002,061078,1969,09,18.6,Y
IDCJAC0002,061078,1969,10,21.8,Y
IDCJAC0002,061078,1969,11,24.1,Y
IDCJAC0002,061078,1969,12,28.0,Y
IDCJAC0002,061078,1970,01,28.2,Y
IDCJAC0002,061078,1970,02,28.4,Y
IDCJAC0002,061078,1970,03,26.1,Y
IDCJAC0002,061078,1970,04,24.0,Y
IDCJAC0002,061078,1970,05,19.0,Y
IDCJAC0002,061078,1970,06,18.7,Y
IDCJAC0002,061078,1970,07,18.6,Y
IDCJAC0002,061078,1970,08,18.9,Y
IDCJAC0002,061078,1970,09,19.5,Y
IDCJAC0002,061078,1970,10,25.0,Y
IDCJAC0002,061078,1970,11,24.4,Y
IDCJAC0002,061078,1970,12,27.1,Y
IDCJAC0002,061078,1971,01,26.6,Y
IDCJAC0002,061078,1971,02,27.2,Y
IDCJAC0002,061078,1971,03,26.4,Y
IDCJAC0002,061078,1971,04,23.6,Y
IDCJAC0002,061078,1971,05,19.9,Y
IDCJAC0002,061078,1971,06,17.2,Y
IDCJAC0002,061078,1971,07,16.0,Y
IDCJAC0002,061078,1971,08,18.5,Y
IDCJAC0002,061078,1971,09,21.7,Y
IDCJAC0002,061078,1971,10,26.2,Y
IDCJAC0002,061078,1971,11,24.5,Y
IDCJAC0002,061078,1971,12,26.4,Y
IDCJAC0002,061078,1972,01,25.9,Y
IDCJAC0002,061078,1972,02,26.8,Y
IDCJAC0002,061078,1972,03,25.0,Y
IDCJAC0002,061078,1972,04,22.7,Y
IDCJAC0002,061078,1972,05,19.4,Y
IDCJAC0002,061078,1972,06,17.4,Y
IDCJAC0002,061078,1972,07,17.3,Y
IDCJAC0002,061078,1972,08,19.3,Y
IDCJAC0002,061078,1972,09,22.9,Y
IDCJAC0002,061078,1972,10,22.9,Y
IDCJAC0002,061078,1972,11,24.2,Y
IDCJAC0002,061078,1972,12,29.2,Y
IDCJAC0002,061078,1973,01,28.6,Y
IDCJAC0002,061078,1973,02,27.9,Y
IDCJAC0002,061078,1973,03,27.6,Y
IDCJAC0002,061078,1973,04,25.6,Y
IDCJAC0002,061078,1973,05,22.2,Y
IDCJAC0002,061078,1973,06,17.9,Y
IDCJAC0002,061078,1973,07,18.2,Y
IDCJAC0002,061078,1973,08,18.8,Y
IDCJAC0002,061078,1973,09,22.6,Y
IDCJAC0002,061078,1973,10,23.5,Y
IDCJAC0002,061078,1973,11,25.3,Y
IDCJAC0002,061078,1973,12,27.5,Y
IDCJAC0002,061078,1974,01,27.1,Y
IDCJAC0002,061078,1974,02,26.8,Y
IDCJAC0002,061078,1974,03,25.9,Y
IDCJAC0002,061078,1974,04,24.0,Y
IDCJAC0002,061078,1974,05,20.4,Y
IDCJAC0002,061078,1974,06,16.8,Y
IDCJAC0002,061078,1974,07,17.5,Y
IDCJAC0002,061078,1974,08,18.2,Y
IDCJAC0002,061078,1974,09,20.0,Y
IDCJAC0002,061078,1974,10,21.7,Y
IDCJAC0002,061078,1974,11,23.4,Y
IDCJAC0002,061078,1974,12,26.8,Y
IDCJAC0002,061078,1975,01,28.2,Y
IDCJAC0002,061078,1975,02,26.7,Y
IDCJAC0002,061078,1975,03,26.0,Y
IDCJAC0002,061078,1975,04,22.9,Y
IDCJAC0002,061078,1975,05,21.6,Y
IDCJAC0002,061078,1975,06,17.4,Y
IDCJAC0002,061078,1975,07,18.7,Y
IDCJAC0002,061078,1975,08,18.5,Y
IDCJAC0002,061078,1975,09,21.1,Y
IDCJAC0002,061078,1975,10,23.2,Y
IDCJAC0002,061078,1975,11,26.2,Y
IDCJAC0002,061078,1975,12,28.7,Y
IDCJAC0002,061078,1976,01,26.6,Y
IDCJAC0002,061078,1976,02,27.0,Y
IDCJAC0002,061078,1976,03,25.5,Y
IDCJAC0002,061078,1976,04,23.2,Y
IDCJAC0002,061078,1976,05,20.5,Y
