Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,061078,1942,09,8.7,Y
IDCJAC0004,061078,1942,10,12.0,Y
IDCJAC0004,061078,1942,11,15.3,Y
IDCJAC0004,061078,1942,12,16.8,Y
IDCJAC0004,061078,1950,08,7.0,Y
IDCJAC0004,061078,1950,09,10.3,Y
IDCJAC0004,061078,1950,10,13.0,Y
IDCJAC0004,061078,1950,11,13.9,Y
IDCJAC0004,061078,1950,12,15.9,Y
IDCJAC0004,061078,1951,01,17.4,Y
IDCJAC0004,061078,1951,02,17.7,Y
IDCJAC0004,061078,1951,03,17.3,Y
IDCJAC0004,061078,1951,04,11.6,Y
IDCJAC0004,061078,1951,05,9.7,Y
IDCJAC0004,061078,1951,06,10.0,Y
IDCJAC0004,061078,1951,07,6.5,Y
IDCJAC0004,061078,1951,08,7.1,Y
IDCJAC0004,061078,1951,09,9.5,Y
IDCJAC0004,061078,1951,10,10.7,Y
IDCJAC0004,061078,1951,11,12.6,Y
IDCJAC0004,061078,1951,12,15.2,Y
IDCJAC0004,061078,1952,01,18.5,Y
IDCJAC0004,061078,1952,02,17.3,Y
IDCJAC0004,061078,1952,03,15.9,Y
IDCJAC0004,061078,1952,04,14.1,Y
IDCJAC0004,061078,1952,05,10.1,Y
IDCJAC0004,061078,1952,06,8.7,Y
IDCJAC0004,061078,1952,07,7.0,Y
IDCJAC0004,061078,1952,08,8.9,Y
IDCJAC0004,061078,1952,09,8.9,Y
IDCJAC0004,061078,1952,10,12.7,Y
IDCJAC0004,061078,1952,11,13.0,Y
IDCJAC0004,061078,1952,12,16.2,Y
IDCJAC0004,061078,1953,01,16.1,Y
IDCJAC0004,061078,1953,02,16.9,Y
IDCJAC0004,061078,1953,03,15.5,Y
IDCJAC0004,061078,1953,04,14.2,Y
IDCJAC0004,061078,1953,05,9.9,Y
IDCJAC0004,061078,1953,06,7.1,Y
IDCJAC0004,061078,1953,07,6.0,Y
IDCJAC0004,061078,1953,08,6.1,Y
IDCJAC0004,061078,1953,09,8.1,Y
IDCJAC0004,061078,1953,10,10.9,Y
IDCJAC0004,061078,1953,11,13.9,Y
IDCJAC0004,061078,1953,12,16.9,Y
IDCJAC0004,061078,1954,01,17.2,Y
IDCJAC0004,061078,1954,02,18.0,Y
IDCJAC0004,061078,1954,03,15.5,Y
IDCJAC0004,061078,1954,04,13.6,Y
IDCJAC0004,061078,1954,05,9.2,Y
IDCJAC0004,061078,1954,06,6.6,Y
IDCJAC0004,061078,1954,07,6.8,Y
IDCJAC0004,061078,1954,08,7.1,Y
IDCJAC0004,061078,1954,09,8.9,Y
IDCJAC0004,061078,1954,10,12.1,Y
IDCJAC0004,061078,1954,11,15.8,Y
IDCJAC0004,061078,1954,12,17.1,Y
IDCJAC0004,061078,1955,01,18.5,Y
IDCJAC0004,061078,1955,02,19.0,Y
IDCJAC0004,061078,1955,03,18.4,Y
IDCJAC0004,061078,1955,04,15.5,Y
IDCJAC0004,061078,1955,05,9.7,Y
IDCJAC0004,061078,1955,06,8.3,Y
IDCJAC0004,061078,1955,07,6.5,Y
IDCJAC0004,061078,1955,08,7.2,Y
IDCJAC0004,061078,1955,09,8.7,Y
IDCJAC0004,061078,1955,10,13.0,Y
IDCJAC0004,061078,1955,11,13.6,Y
IDCJAC0004,061078,1955,12,15.6,Y
IDCJAC0004,061078,1956,01,17.7,Y
IDCJAC0004,061078,1956,02,19.2,Y
IDCJAC0004,061078,1956,03,19.2,Y
IDCJAC0004,061078,1956,04,13.9,Y
IDCJAC0004,061078,1956,05,11.2,Y
IDCJAC0004,061078,1956,06,7.5,Y
IDCJAC0004,061078,1956,07,6.0,Y
